"","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1","ID","Jakarta","Haze","haze",28.04,26.61,28.05,31.89,78,106.8451,-6.2146,2024-01-04 01:03:49.377674
"2","ID","Jakarta","Rain","moderate rain",28.04,26.61,28.05,31.89,78,106.8451,-6.2146,2024-01-04 01:03:49.377674
"3","ID","Jakarta","Mist","mist",28.04,26.61,28.05,31.89,78,106.8451,-6.2146,2024-01-04 01:03:49.377674
