"","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1","ID","Medan","Thunderstorm","thunderstorm with light rain",25.02,25.02,25.02,26.03,1012,6.17,94,98.6667,3.5833,2026-04-01 04:37:33.462458
"2","ID","Medan","Mist","mist",25.02,25.02,25.02,26.03,1012,6.17,94,98.6667,3.5833,2026-04-01 04:37:33.462458
"3","ID","Medan","Rain","light rain",25.02,25.02,25.02,26.03,1012,6.17,94,98.6667,3.5833,2026-04-01 04:37:33.462458
