"","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1","ID","Bekasi","Haze","haze",31.02,29.46,31.02,36.48,1007,4.12,66,106.9896,-6.2349,2024-11-10 08:09:47.122858
"2","ID","Bekasi","Rain","moderate rain",31.02,29.46,31.02,36.48,1007,4.12,66,106.9896,-6.2349,2024-11-10 08:09:47.122858
"3","ID","Bekasi","Thunderstorm","thunderstorm with light rain",31.02,29.46,31.02,36.48,1007,4.12,66,106.9896,-6.2349,2024-11-10 08:09:47.122858
