"","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1","ID","Tangerang","Thunderstorm","thunderstorm with light rain",26.17,25.95,30.5,26.17,1012,3.6,89,106.63,-6.1781,2025-02-22 02:39:47.068935
"2","ID","Tangerang","Mist","mist",26.17,25.95,30.5,26.17,1012,3.6,89,106.63,-6.1781,2025-02-22 02:39:47.068935
"3","ID","Tangerang","Rain","moderate rain",26.17,25.95,30.5,26.17,1012,3.6,89,106.63,-6.1781,2025-02-22 02:39:47.068935
